"fips","NAME","edassociates","edbachelors","edgradprof","edhighgrad","edlesshigh","housefamily","povbelow100","povratio1to2","povratioU1","transalone","transpublic","transwalk","units10to20","units50plus","unitsone","Life Expectancy","Child Mortality Rate","Infant Mortality Rate","% Frequent Physical Distress","% Adults with Diabetes","% Frequent Mental Distress","% Food Insecure","% Limited Access to Healthy Foods","Drug Overdose Mortality Rate","Motor Vehicle Mortality Rate","% Insufficient Sleep","% Uninsured","Average Grade Performance","Median Household Income","% Enrolled in Free or Reduced Lunch","Segregation index","Homicide Rate","% Homeowners","% Severe Housing Cost Burden","% less than 18 years of age","% 65 and over","% Black","% Asian","% Hispanic","% American Indian & Alaska Native","% Non-Hispanic White","% Not Proficient in English","% Female","% Rural","Population","Donald Trump","Hillary Clinton"
"01001","Autauga County, Alabama",20,8.87,6.41,22.06,8.43,25.74,12.78,6.15,4.3,0.37,0,0,0.92,0.23,29.47,76.9,56,8,14,11,14,13,12,11,19,36,11,3,59338,43,25,5,75,13,23.7,15.6,19.3,1.2,3,0.5,74.3,1,51.4,42,55601,72.77,23.77
"01003","Baldwin County, Alabama",22.29,13.52,6.83,20.21,7.36,25.77,13.22,5.27,4.01,0.2,0.03,0,2,6.34,33.89,78.5,47,6,12,11,13,12,5,14,16,33,14,3,57588,48,41,3,74,12,21.6,20.4,8.8,1.2,4.6,0.8,83.1,1,51.5,42.3,218022,76.55,19.39
"01005","Barbour County, Alabama",18.35,5.24,3.5,24.1,18.64,22.5,23.84,5.14,8.27,0.77,0,0.09,0.45,0.03,25.93,75.3,74,NA,17,18,17,22,11,NA,23,39,16,2.7,34382,63,25,8,61,14,20.9,19.4,48,0.5,4.3,0.7,45.6,2,47.2,67.8,24881,52.1,46.53
"01007","Bibb County, Alabama",19.32,4.19,3.18,29.08,13.38,23.43,15.43,8.06,4.98,0,0,0,0.32,0.11,26,73.6,86,12,14,15,14,14,3,28,26,38,13,2.6,46064,62,53,8,75,10,20.5,16.5,21.1,0.2,2.6,0.4,74.6,0,46.8,68.4,22400,76.4,21.25
"01009","Blount County, Alabama",21.97,5.88,2.92,22.84,14.68,27.1,16.55,4.24,6.04,0.47,0,0,0.24,0,29.33,74.1,84,7,15,17,15,11,3,24,29,36,17,3,50412,53,48,6,79,8,23.2,18.2,1.5,0.3,9.6,0.7,86.9,2,50.7,90,57840,89.33,8.43
"01011","Bullock County, Alabama",12.32,4.53,5.12,23.21,24.48,21.85,23.28,7.17,7.58,0,0,0,0,0.35,24.67,73.5,150,NA,17,24,16,25,20,NA,48,45,15,2.5,29267,76,32,NA,76,19,21.1,16.4,69.5,0.2,8,0.8,21.2,0,45.5,51.4,10138,24.2,74.95
"01013","Butler County, Alabama",17.63,5.76,4.22,25.91,15.24,25.9,25.03,5.9,8.02,0.09,0,0,0.31,0.2,29.71,72.9,98,NA,17,19,17,21,3,NA,30,42,15,2.7,37365,79,38,19,70,12,22.2,20.3,44.6,1.3,1.5,0.4,51.3,0,53.4,71.2,19680,56.13,42.67
"01015","Calhoun County, Alabama",21.26,7.23,4.61,21.49,12.88,26.22,20,5.51,6.05,0.43,0,0,0.9,0.39,32.72,73,66,8,15,18,15,16,9,18,19,41,15,3.1,45400,59,45,10,69,12,21.6,17.7,20.9,1,3.9,0.5,72,1,51.9,33.7,114277,68.66,27.67
"01017","Chambers County, Alabama",20.24,5.28,2.81,26.82,14.73,25.32,21.34,5.06,7.37,0.01,0,0,1.19,0.19,35.44,74.3,88,8,15,20,15,18,10,10,23,37,15,2.6,39917,71,27,11,68,12,20.8,19.5,39.6,1.3,2.6,0.3,55.2,0,52.1,49.1,33615,56.42,41.61
"01019","Cherokee County, Alabama",21.1,5.69,4.22,26.25,14.76,31.43,18.91,4.83,5.86,0,0,0,0.31,0.28,40.46,74,64,NA,14,15,15,13,0,13,36,35,14,3,42132,62,32,9,79,10,19.2,23,4.2,0.3,1.6,0.7,91.7,0,50.5,85.7,26032,83.42,14.41
"01021","Chilton County, Alabama",16.88,6.1,3.37,26.39,14.52,26.45,18.91,6.34,6.62,0.76,0,0,0.25,0.01,27.6,74.9,59,7,15,19,15,13,1,12,27,35,18,2.8,47547,61,38,6,75,12,23.8,16.8,10,0.5,7.9,0.6,80.1,2,50.9,86.7,44153,82.1,15.85
"01023","Choctaw County, Alabama",19.75,5.23,3.17,26.22,16.8,26.53,23.09,3,6.1,0,0,0,0.21,0.35,35.2,74.1,NA,NA,15,17,16,20,7,NA,41,38,14,2.5,39907,77,46,NA,80,9,20,23,41.5,0.2,1,0.2,56.4,0,52.7,100,12841,56.31,42.64
"01025","Clarke County, Alabama",16.18,5.74,3.1,29.98,13.32,24.73,24.36,4.04,6.39,0,0,0,0.16,0.25,32.67,74.8,94,NA,16,22,16,23,11,NA,31,41,15,3,40741,72,21,NA,67,13,21.7,19.9,44.3,0.4,1.4,0.5,52.5,0,52.6,76,23920,54.79,44.12
"01027","Clay County, Alabama",20.57,4.08,2.67,25.56,17.56,27.29,16.26,10.16,4.65,0.24,0,0,0,0,32.57,75.2,NA,NA,15,14,16,15,2,NA,25,39,17,2.8,39201,63,20,NA,72,8,20.2,20.7,13.8,0.2,3,0.5,80.5,0,51.1,100,13275,79.18,18.67
"01029","Cleburne County, Alabama",17.23,4.81,3.57,26.58,17.26,27.16,16.72,5.11,5.59,0.21,0,0,0,0.08,29.31,74.8,73,NA,14,13,15,14,2,NA,32,34,17,3.2,46495,60,40,NA,76,10,22.8,19.5,2.9,0.2,2.5,0.5,92.8,1,50.5,100,14987,87.43,10.37
"01031","Coffee County, Alabama",21.22,10.32,5.84,19.95,10.4,25.57,16.86,5.11,5.77,0.33,0,0,0.28,0.1,31.62,76.7,37,6,13,16,14,14,6,8,16,37,15,3.2,55122,48,38,4,65,9,23.7,17,17.2,1.6,7.6,1.4,69.9,1,50.8,47.2,51909,76.44,20.33
"01033","Colbert County, Alabama",21.45,7.9,5.08,24.12,11.27,27.71,17.28,4.53,5.21,0.3,0,0,0.44,0.5,37.02,74.7,67,9,14,16,14,15,7,7,27,37,12,3,49055,52,28,4,73,12,20.8,19.9,16,0.6,2.7,0.7,78.4,0,52,43.9,54762,67.21,29.35
"01035","Conecuh County, Alabama",17.57,3.11,2.58,30.8,15.17,26.69,33.58,4.17,8.48,0,0,0,0.19,0.06,34.84,75.3,NA,NA,17,26,17,21,13,NA,26,42,15,2.7,32613,71,22,11,77,9,20.8,22.5,45.7,0.2,2.2,0.5,50.3,0,52.1,80.9,12277,51.94,46.77
"01037","Coosa County, Alabama",20.37,3.7,2.46,27.36,18.86,25.37,18.8,5.75,4.47,0,0,0,0,0.08,37.59,73.8,137,NA,15,21,16,16,10,NA,41,37,16,2.7,42423,65,54,NA,82,10,16.6,23.2,30.5,0.1,2.5,0.6,65.4,0,49.6,100,10715,64.38,33.93
"01039","Covington County, Alabama",22.29,6.73,3.28,23.47,14.1,27.45,19.84,5.31,5.82,0.16,0,0.04,0.16,0.08,36.96,74,79,6,14,15,15,15,4,NA,22,36,15,2.9,40203,57,42,4,74,10,21.9,21.1,12.4,0.5,1.7,0.7,83.2,0,51.6,69.7,36986,83.23,14.97
"01041","Crenshaw County, Alabama",17.58,6.85,2.93,26.04,15.1,25.56,16.42,5.57,4.12,0.38,0,0,0,0.03,31.32,74.7,NA,NA,14,18,15,16,17,NA,26,38,16,2.8,39057,64,13,NA,74,9,22.9,19,23.2,1.1,2.3,0.6,70.9,1,51.7,100,13824,72.01,26.55
"01043","Cullman County, Alabama",22.47,6.29,3.74,23.88,12.51,27,18.3,6.34,5.39,0.17,0,0,0.29,0.12,31.63,74.5,43,6,14,19,15,12,3,23,24,35,16,3.1,45796,51,84,3,75,10,22.5,18.5,1.2,0.7,4.4,0.6,91.9,1,50.6,73.2,83442,87.1,10.03
"01045","Dale County, Alabama",24.56,7.22,3.69,21.47,9.74,25.29,18.66,4.51,6.09,0.29,0,0,0.36,0.18,29.86,75.1,75,7,15,16,15,16,11,7,20,41,12,3.1,45309,63,33,7,60,13,23,16.9,20.5,1.4,6.6,0.8,68.4,1,50.9,50.9,48956,73.65,23.54
"01047","Dallas County, Alabama",19.17,5.31,3.81,22.56,14.27,24.3,34.59,4.7,12.22,0.12,0,0,0.12,0.13,28.94,71.2,49,6,18,16,18,27,12,NA,34,42,14,2.6,34035,81,51,35,60,17,23.8,18.1,70.1,0.6,1.1,0.3,27.2,0,53.8,45.6,38310,30.81,68.31
"01049","DeKalb County, Alabama",17.29,4.18,3.25,23.4,18.33,24.77,18.48,7.79,5.83,1.77,0,0.02,0.36,0.04,30.34,74.5,62,7,16,13,16,12,2,28,23,36,23,2.7,39491,69,50,4,71,10,24.1,17.3,1.4,0.5,14.8,2,80.1,4,50.4,90.1,71385,82.88,14.02
"01051","Elmore County, Alabama",20.06,9.06,5.39,23.89,9.02,25.57,12.8,3.94,4.39,0.21,0.03,0,0.56,0.06,30.04,75.9,58,7,13,16,14,13,7,10,20,38,11,3.1,60367,49,27,8,74,10,22.2,15.1,21.2,0.7,3,0.5,73,1,51.7,54.2,81887,74.17,22.66
"01053","Escambia County, Alabama",17.3,5.74,2.85,28.84,13.81,24.19,22.69,6.26,6.5,0.16,0,0,0.28,0.16,29.82,72.9,78,9,16,19,16,18,7,29,24,40,19,2.9,38418,68,37,10,69,11,22.4,17.9,31.4,0.3,2.5,3.9,60.2,0,49.3,63.5,36748,66.92,31.02
"01055","Etowah County, Alabama",23.79,6.95,4.12,22.04,12.1,26.59,19.35,4.82,6.46,0.26,0,0,0.69,0.44,35.03,73,73,8,15,16,15,15,9,25,20,41,16,NA,44903,58,64,6,72,9,21.5,19,15.5,0.8,4,0.6,77.7,1,51.6,37.5,102501,73.26,23.64
"01057","Fayette County, Alabama",17.33,5.91,4.02,27.31,15.75,29.28,18.08,6.92,5.25,0,0,0,0.76,0.12,34.89,74.6,NA,NA,15,23,15,14,1,NA,28,39,15,3,39254,62,49,NA,78,10,21.1,21.1,11.9,0.4,1.8,0.5,84.2,0,51.2,80.2,16433,81.37,16.51
"01059","Franklin County, Alabama",17.13,4.94,2.66,24.96,16.93,26.41,22.19,6.63,8.77,1.25,0,0,0.45,0.66,31.42,74.6,65,NA,16,15,16,13,4,NA,23,38,20,2.7,39388,69,57,5,71,8,24.5,16.9,3.9,0.3,17.8,1.5,76.2,5,49.5,70.4,31363,78.62,18.25
"01061","Geneva County, Alabama",20.71,6.52,2.13,25.96,14.66,28.05,22.93,3.58,8.11,0.21,0,0,0.13,0,30.58,73.8,73,NA,15,17,16,15,1,18,23,37,18,3.1,37823,59,24,5,71,12,21.9,20.3,9.3,0.3,4,1,83.7,1,51.2,89.6,26314,85,12.97
"01063","Greene County, Alabama",17.73,5.29,2.16,26.49,16.43,21.81,40,3.74,15.19,0,0,0,0.53,2.09,29.03,74.8,NA,NA,19,15,18,30,21,NA,45,45,15,2.4,28524,85,8,NA,69,19,22.2,22.3,79.6,0.3,1.7,0.3,17.5,0,52.8,100,8233,17.17,82.23
"01065","Hale County, Alabama",16.09,6.67,2.67,28.88,13.02,25.55,26.29,5.49,7.85,0.54,0,0,0.39,0.59,28.97,74.1,93,NA,17,18,17,22,5,NA,27,42,14,2.9,34724,78,37,11,71,14,23,19.2,57.8,0.3,1.4,0.3,39.7,0,52.4,89.2,14726,39.47,59.39
"01067","Henry County, Alabama",18.97,6.67,5.03,25.14,14.98,26.35,15.4,5.34,4.19,0.39,0,0,0.57,0.04,34.91,76.2,NA,NA,14,17,15,14,2,NA,17,38,15,2.7,46027,57,25,8,83,9,20.6,22.7,25.8,0.4,2.7,0.5,69.3,0,51.8,87.8,17209,69.77,28.39
"01069","Houston County, Alabama",21.03,9.02,4.95,22.45,10.41,25.19,18.11,5.04,6.51,0.25,0,0,0.89,0.41,30.65,75.9,89,10,14,14,15,17,6,13,17,37,14,3.1,47993,64,48,7,66,12,23,17.8,26.9,1.1,3.4,0.5,66.3,1,52,33.8,104722,72.07,25.01
"01071","Jackson County, Alabama",17.28,5.44,3.31,28.03,16.28,26.96,17.81,6.09,5.18,0.32,0,0,0.29,0.05,32.48,73.8,59,9,15,17,16,14,3,10,27,38,16,3,41929,57,45,4,74,10,20.9,20,3.4,0.6,3,1.7,89.1,0,50.9,77,51736,79.45,17.5
"01073","Jefferson County, Alabama",21.06,12.59,8.2,17.86,7.81,25.26,18.36,4.28,5.92,0.54,0,0,3.22,1.4,32.1,74.7,84,11,14,13,15,18,12,30,16,36,13,3,55013,53,64,19,63,15,22.8,15.9,43.1,1.8,4,0.3,49.7,1,52.7,9.8,659300,44.3,51.57
"01075","Lamar County, Alabama",20.4,4.85,3.3,26.29,16.04,31.08,23.93,7.28,6.5,0,0,0,0,0.33,36.72,74.3,NA,NA,16,19,16,15,1,NA,26,38,14,2.9,40936,59,6,NA,76,7,21.4,21.7,10.4,0.1,1.7,0.3,86,0,51.1,100,13844,83.59,14.87
"01077","Lauderdale County, Alabama",19.27,8.68,6.1,23.09,10.64,27.07,17.5,4.4,4.82,0.06,0,0,0.98,0.61,35.12,76.2,56,7,14,14,15,14,5,13,20,35,14,3.2,48707,49,46,6,68,11,19.7,20.1,9.9,0.8,2.9,0.5,84.6,1,52,49.3,92387,70.59,25.18
"01079","Lawrence County, Alabama",18.81,5.37,2.34,28.18,14.65,28.83,18.53,5.45,5.1,0,0,0,0.31,0.01,31.22,73.8,84,NA,15,19,15,13,2,16,30,39,17,2.9,43909,61,69,5,79,9,21.6,18.7,10.8,0.2,2.2,5.8,76.4,0,51.3,91.3,32957,73.05,24.46
"01081","Lee County, Alabama",16.95,11.33,8.49,14.83,6.66,23.8,22.89,4.35,4.86,0.69,0.01,0,3.01,0.89,23.91,78.2,65,8,14,9,15,17,12,7,13,37,13,3.3,48937,47,35,9,60,17,21.3,11.9,22.8,4.2,3.8,0.4,67.5,1,50.8,27.4,163941,58.48,35.87
"01083","Limestone County, Alabama",19.1,10.48,5.49,22.02,11.61,26.23,13.6,5.42,4.09,0.7,0.08,0,0.56,0.3,30.92,77.7,54,6,14,14,14,12,4,8,17,37,14,3,64863,42,41,5,78,10,22.6,15.2,13.5,1.6,6.1,0.8,76.1,1,49.9,57.6,96174,72.14,23.5
"01085","Lowndes County, Alabama",16.6,6.84,2.64,23.65,17.34,26.37,28.25,4.89,8.63,0,0,0,0.06,0,27.16,71.2,108,NA,18,14,17,26,13,NA,48,43,14,2.1,33973,96,25,19,74,17,22.6,18.8,71.9,0.4,1.7,0.4,25.1,0,53.2,100,9974,26.2,73.06
